"Country or Area","Year(s)","EDUCATION LEVEL","WEALTH QUINTILE","Value","Value Footnotes"
"Zimbabwe","2010","","Q2","5.1",""
"Zimbabwe","2010","","Q3","4.4",""
"Zimbabwe","2010","","Q4","3.8",""
"Zimbabwe","2010","","Q5 (Richest)","2.6",""
"Zimbabwe","2010","None","","4.5",""
"Zimbabwe","2010","Primary","","4.9",""
"Zimbabwe","2010","Secondary or higher","","3.8",""
"Zimbabwe","2005","","Q1 (Poorest)","5.6",""
"Zimbabwe","2005","","Q2","4.8",""
"Zimbabwe","2005","","Q3","4.2",""
"Zimbabwe","2005","","Q4","3.2",""
"Zimbabwe","2005","","Q5 (Richest)","2.4",""
"Zimbabwe","2005","None","","5.4",""
"Zimbabwe","2005","Primary","","4.6",""
"Zimbabwe","2005","Secondary or higher","","3.3",""

"footnoteSeqID","Footnote"
"1","Continuous DHS 2004-2008."
